size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
2000,par,0.071252,2094950705,2094950733,9,51.6797
2000,par,0.083220,2094950805,2094950642,10,81.7617
2000,built,0.000171,2094950690,2094950885,0,1.83203
2000,seq,0.000093,2094950798,2094951152,0,1.78516
2000,par,0.000417,2094950687,2094950917,1,1.97656
2000,par,0.000570,2094950780,2094950880,2,2.80859
2000,par,0.001987,2094950542,2094950662,3,4.80859
2000,par,0.004396,2094950487,2094950570,4,10.7891
2000,par,0.005854,2094950611,2094950519,5,16.7305
2000,par,0.014682,2094950305,2094950851,6,20.8828
2000,par,0.030939,2094950921,2094950271,7,28.8164
2000,par,0.029112,2094950752,2094950674,8,78.8008
2000,par,0.056619,2094950550,2094950534,9,47.3398
2000,par,0.072003,2094950863,2094950706,10,62.0078
2000,built,0.000173,2094950262,2094951082,0,1.83594
2000,seq,0.000094,2094950673,2094950801,0,1.88672
2000,par,0.000435,2094950594,2094950854,1,1.85938
2000,par,0.001146,2094950762,2094950959,2,1.90625
2000,par,0.001939,2094950597,2094950382,3,4.87109
2000,par,0.003602,2094950835,2094950769,4,8.72656
2000,par,0.006641,2094950633,2094950544,5,16.75
2000,par,0.013084,2094950747,2094950702,6,26.8164
2000,par,0.016348,2094950666,2094950716,7,21.25
2000,par,0.031197,2094950824,2094950647,8,52.7852
2000,par,0.055682,2094950793,2094950171,9,66.9336
2000,par,0.615042,2094950672,2094949689,10,118.801
2000,built,0.000175,2094950388,2094951104,0,1.79297
500,seq,0.000020,2094950779,2094950972,0,1.73438
500,par,0.000505,2094943396,2094950836,1,2.85156
500,par,0.000568,2094949586,2094949598,2,1.85156
500,par,0.002220,2094950671,2094950724,3,4.74609
500,par,0.004206,2094950827,2094950047,4,8.80859
500,par,0.006717,2094950784,2094950697,5,14.7227
500,par,0.013693,2094950710,2094950514,6,30.7852
500,par,0.024195,2094949987,2094950194,7,40.7422
500,par,0.036474,2094950373,2094950707,8,33.2852
500,par,0.038238,2094950850,2094950564,9,62.8594
500,par,0.047044,2094950711,2094950780,10,76.8281
500,built,0.000041,2094950742,2094951054,0,1.80469
500,seq,0.000019,2094950471,2094951074,0,1.79688
500,par,0.000375,2094950832,2094950942,1,1.94922
500,par,0.001117,2094950105,2094950943,2,2.74609
500,par,0.001932,2094950401,2094950506,3,2.89453
500,par,0.004693,2094948807,2094950190,4,8.89453
500,par,0.007784,2094950296,2094950512,5,18.7812
500,par,0.013509,2094950929,2094950717,6,18.793
500,par,0.019607,2094950693,2094950749,7,38.8555
500,par,0.023636,2094950583,2094950673,8,27.1172
500,par,0.040649,2094950830,2094950707,9,37.5312
500,par,0.046408,2094950793,2094950119,10,41.7422
500,built,0.000043,2094950881,2094950819,0,1.75781
500,seq,0.000020,2094950736,2094950953,0,1.73438
500,par,0.000363,2094950547,2094950939,1,1.88281
500,par,0.000546,2094950682,2094950902,2,1.96875
500,par,0.002301,2094950818,2094950424,3,4.76953
500,par,0.004327,2094950630,2094950200,4,8.73047
500,par,0.006827,2094950326,2094950754,5,14.8711
500,par,0.013632,2094950477,2094950886,6,28.7305
500,par,0.025817,2094950594,2094950847,7,22.9336
500,par,0.024768,2094950636,2094950641,8,24.9062
500,par,0.040899,2094950447,2094950717,9,39.293
500,par,0.045834,2094950691,2094950367,10,43.6641
500,built,0.000042,2094950802,2094950963,0,1.72656
500,seq,0.000020,2094950615,2094950999,0,1.80859
500,par,0.001151,2094950794,2094951011,1,1.83594
500,par,0.001548,2094950708,2094950795,2,2.80859
500,par,0.001227,2094950503,2094950880,3,6.89062
500,par,0.003757,2094950922,2094950796,4,10.8789
500,par,0.005906,2094950802,2094950826,5,14.8594
500,par,0.013676,2094950674,2094950680,6,32.8867
500,par,0.023276,2094950402,2094950728,7,54.8516
500,par,0.026541,2094950276,2094950685,8,56.8086
500,par,0.039751,2094950755,2094950745,9,41.4023
500,par,0.052143,2094950524,2094950509,10,88.8555
500,built,0.000043,2094950682,2094950965,0,1.75391
500,seq,0.000020,2094950762,2094951133,0,1.92969
500,par,0.000955,2094950871,2094950929,1,1.94922
500,par,0.000554,2094950717,2094950943,2,2.74219
500,par,0.002005,2094950705,2094950186,3,4.74609
500,par,0.003509,2094950843,2094950651,4,8.76953
500,par,0.006742,2094950831,2094950758,5,16.8086
500,par,0.012492,2094950436,2094950754,6,30.8828
500,par,0.032111,2094950619,2094950320,7,44.7891
500,par,0.156334,2094950922,2094950785,8,36.8906
500,par,0.040054,2094950759,2094950745,9,70.8281
500,par,0.049860,2094950665,2094950783,10,43.5586
500,built,0.000041,2094950816,2094950918,0,1.80469
45,seq,0.000001,2094950842,2094950998,0,1.78125
45,par,0.000387,2094949639,2094949689,1,1.94141
45,par,0.001124,2094949528,2094950891,2,2.80859
45,par,0.001282,2094950924,2094950630,3,4.79297
45,par,0.003478,2094950243,2094950528,4,10.7852
45,par,0.004604,2094950666,2094950895,5,12.7266
45,par,0.004780,2094950793,2094950301,6,16.7461
45,par,0.007353,2094950277,2094950443,7,16.8086
45,par,0.007284,2094950603,2094950648,8,16.7344
45,par,0.010729,2094950423,2094950641,9,18.793
45,par,0.008158,2094950615,2094950766,10,14.7852
45,built,0.000005,2094950489,2094951141,0,1.74219
45,seq,0.000001,2094950511,2094950850,0,1.72656
45,par,0.000355,2094950758,2094950936,1,1.95312
45,par,0.001544,2094950397,2094950378,2,2.01953
45,par,0.001933,2094950373,2094950109,3,2.74609
45,par,0.003698,2094947852,2094950648,4,8.85156
45,par,0.005064,2094950844,2094950818,5,12.8516
